Machine Identifier,Site Session ID,Domain ID,Date of Activity,Time of Activity,Product Category ID,Product Name,product Quantity,Product Total Price,Basket Total,Most Education -- Head of Household,Census Region,Household Size,Oldest Age -- Head of Household,Household Income,Children Present,Racial Background,Connection Speed,Country of Origin,Zip Code,Domain Name
17644491,1.11476E+14,4.04667E+18,20120822,19:43:02,23,MATLOCK THE THIRD SEASON N/A,1,28.18,52.96,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,3769569929,4.04667E+18,20121227,0:34:55,2,"NEW WOMENS BALLERINA BALLET FLATS SHOES LEOPARD & BLACK (5, NAVY 8500) N/A",1,10.98,13.93,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,5615325786,4.04667E+18,20121110,0:44:02,23,A TIME TO HATE (STAR TREK (UNNUMBERED PAPERBACK)) ROBERT GREENBERGER  KINDLE STORE N/A,1,8.99,13.47,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,5675094565,4.04667E+18,20120918,0:15:45,23,MEMOREX SLIM DVD VIDEO STORAGE CASES - 25 PACK - CLEAR N/A,1,12.99,12.99,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,5865411136,4.04667E+18,20121015,0:22:57,15,OZERI 4X3RAZOR DIGITAL POCKET 3D PEDOMETER WITH BOSCH TRI-AXIS TECHNOLOGY FROM GERMANY N/A,1,28.95,32.94,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.26639E+13,4.04667E+18,20120204,1:30:52,21,"VALHALLA (STAR TREK DEEP SPACE NINE, NO 10) N/A",1,2.49,27.44,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.26639E+13,4.04667E+18,20120204,1:30:52,21,"PROUD HELIOS (STAR TREK DEEP SPACE NINE, NO 9) N/A",1,3.19,27.44,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.26639E+13,4.04667E+18,20120204,1:30:52,23,STAR TREK DEEP SPACE NINE THE BIG GAME (STAR TREK - DEEP SPACE NINE SERIES) N/A,1,9.03,27.44,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.26639E+13,4.04667E+18,20120204,1:30:52,21,"WARCHILD (STAR TREK DEEP SPACE NINE, NO 7) N/A",1,2.7,27.44,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.26639E+13,4.04667E+18,20120204,1:30:52,21,STAR TREK DEEP SPACE NINE FALLEN HEROES (STAR TREK DEEP SPACE 9) N/A,1,6,27.44,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.26639E+13,4.04667E+18,20120204,1:30:52,23,BETRAYAL (STAR TREK - DEEP SPACE NINE SERIES) N/A,1,4.03,27.44,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.40568E+13,4.04667E+18,20120217,0:43:25,21,ARABIC FOR READING AND SPEAKING WITH AUDIO CD N/A,1,18.1,18.1,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,21,"FROM THIS DAY FORWARD (IM EXTRA) (SILHOUETTE INTIMATE MOMENTS, NO. 739) (HARLEQUIN INTIMATE MOMENTS) N/A",1,3.2,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,21,"SHOTGUN BRIDE (MEN IN BLUE) (SILHOUETTE INTIMATE MOMENTS NO. 1026) (INTIMATE MOMENTS, 1026) N/A",1,2.98,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,21,"AND DADDY MAKES THREE (SILHOUETTE INTIMATE MOMENTS, NO. 784) N/A",1,3.98,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,21,MARRIAGE IN NAME ONLY (SILHOUETTE INTIMATE MOMENTS) N/A,1,3.99,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,21,SECONDHAND HUSBAND (SILHOUETTE INTIMATE MOMENTS) N/A,1,3.44,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,21,HER SECRET WEAPON (SILHOUETTE INTIMATE MOMENTS #1034) (A YEAR OF LOVING DANGEROUSLY) N/A,1,3.2,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,21,"FIVE KIDS, ONE CHRISTMAS (SILHOUETTE INTIMATE MOMENTS NO. 680) N/A",1,3.99,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,21,THE TWELVE - MONTH MARRIAGE (SILHOUETTE INTIMATE MOMENTS NO. 797) N/A,1,3.45,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,23,A MARRIAGE TO REMEMBER (SILHOUETTE INTIMATE MOMENTS #795) N/A,1,3.97,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,22,ALL I NEED (SILHOUETTE INTIMATE MOMENTS) N/A,1,3.99,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,21,FOUND ONE MARRIAGE (ROGUES' GALLERY) (SILHOUETTE INTIMATE MOMENTS) N/A,1,3.57,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,21,MAJOR DAD CONVENIENTLY WED (SILHOUETTE INTIMATE MOMENTS NO. 876) N/A,1,4,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,21,SEASON OF MIRACLES  (TRY TO REMEMBER) (SILHOUETTE INTIMATE MOMENTS) N/A,1,3.99,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,16,VERY CONVENIENT MARRIAGE (A FAMILY CIRCLE) (SILHOUETTE INTIMATE MOMENTS) N/A,1,3.91,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,21,"WHO'S BEEN SLEEPING IN HER BED? (TRY TO REMEMBER) (SILHOUETTE SENSATION) (SILHOUETTE INTIMATE MOMENTS NO. 1020) (INTIMATE MOMENTS, 1020) N/A",1,3.99,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.68242E+13,4.04667E+18,20120506,22:43:28,21,TEMPORARY MARRIAGE (HARLEQUIN SILHOUETTE INTIMATE MOMENTS) N/A,1,3.99,59.64,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.71058E+13,4.04667E+18,20120401,0:22:27,23,SCARECROW AND MRS. KING THE COMPLETE THIRD SEASON N/A,1,27.99,142.98,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.71058E+13,4.04667E+18,20120401,0:22:27,23,DRAGONSLAYER (AMERICAN HEROES) (SILHOUETTE INTIMATE MOMENTS) N/A,1,3.49,142.98,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.71058E+13,4.04667E+18,20120401,0:22:27,23,THE HORSEMAN'S SON (HARLEQUIN INTRIGUE) N/A,1,3.92,142.98,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.71058E+13,4.04667E+18,20120401,0:22:27,21,PERFECT MARRIAGE (SILHOUETTE INTIMATE MOMENTS) N/A,1,4,142.98,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.71058E+13,4.04667E+18,20120401,0:22:27,23,SCARECROW AND MRS. KING THE COMPLETE SECOND SEASON N/A,1,23.95,142.98,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.71058E+13,4.04667E+18,20120401,0:22:27,54,BROKEN (HARLEQUIN INTRIGUE SERIES) N/A,1,3.65,142.98,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.71058E+13,4.04667E+18,20120401,0:22:27,23,CASTLE THE COMPLETE SECOND SEASON N/A,1,31.99,142.98,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.71058E+13,4.04667E+18,20120401,0:22:27,23,DOCTOR WHO THE COMPLETE THIRD SERIES N/A,1,43.99,142.98,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.89916E+13,4.04667E+18,20120403,0:00:07,23,UNDERDOG THE COMPLETE SERIES N/A,1,46.99,46.99,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.91281E+13,4.04667E+18,20120404,20:26:05,11,STARGATE SG-1 SUNRISE SG1-17 N/A,1,7.95,179.72,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.91281E+13,4.04667E+18,20120404,20:26:05,23,DRAGONSLAYER (AMERICAN HEROES) (SILHOUETTE INTIMATE MOMENTS) N/A,1,3.5,179.72,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.91281E+13,4.04667E+18,20120404,20:26:05,23,ADVENTURES OF SUPERMAN - THE COMPLETE FIRST SIX SEASONS (20PC) N/A,1,69.95,179.72,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.91281E+13,4.04667E+18,20120404,20:26:05,23,DOCTOR WHO THE COMPLETE FOURTH SERIES N/A,1,39.99,179.72,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.91281E+13,4.04667E+18,20120404,20:26:05,23,CASTLE THE COMPLETE THIRD SEASON N/A,1,30.49,179.72,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,7.91281E+13,4.04667E+18,20120404,20:26:05,23,HIS BEST FRIEND'S WIFE (SILHOUETTE INTIMATE MOMENTS) N/A,1,3.9,179.72,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,8.00065E+13,4.04667E+18,20120405,19:52:42,23,COOL RUNNINGS N/A,1,9.49,29.2,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,8.00065E+13,4.04667E+18,20120405,19:52:42,23,FATHER OF THE BRIDE 2 N/A,1,11.73,29.2,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,9.59255E+13,4.04667E+18,20120603,0:35:34,23,DOCTOR WHO THE COMPLETE SPECIALS (THE NEXT DOCTOR / PLANET OF THE DEAD / THE WATERS OF MARS / THE END OF TIME PARTS 1 AND 2) N/A,1,31.06,84.03,99,2,4,8,4,1,1,1,0,68124,amazon.com
17644491,9.59255E+13,4.04667E+18,20120603,0:35:34,21,DOCTOR WHO THE COMPLETE FIFTH SERIES N/A,1,44.99,84.03,99,2,4,8,4,1,1,1,0,68124,amazon.com
54590783,1.00385E+14,4.04667E+18,20120627,23:11:22,21,THE PLEASURE OF PAIN EBOOK SHAMEEK SPEIGHT KINDLE STORE N/A,1,0.99,5.47,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,10151203387,4.04667E+18,20121010,22:55:01,21,MY MAN'S BEST FRIEND K. ELLE COLLIER  KINDLE STORE N/A,1,0.99,5.47,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,10151203387,4.04667E+18,20121010,22:55:01,22,"DADDY DEAREST KEVIN BULLOCK,K. ELLIOTT  KINDLE STORE N/A",1,0.99,5.47,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,1.09177E+14,4.04667E+18,20120803,1:43:33,17,SAVAGE LOVE LEILA JEFFERSON  KINDLE STORE N/A,1,0.99,5.47,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,1.09177E+14,4.04667E+18,20120803,1:43:33,17,SAVAGE INSTINCT LEILA JEFFERSON  KINDLE STORE N/A,1,0.99,5.47,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,1.09177E+14,4.04667E+18,20120803,1:43:33,17,DEVIOUS SAVAGES LEILA JEFFERSON  KINDLE STORE N/A,1,0.99,5.47,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,1.09177E+14,4.04667E+18,20120803,1:43:33,8,BYWATER'S FINEST A HOOD STORY RUKYYAH  KINDLE STORE N/A,1,0.99,5.47,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,5449912971,4.04667E+18,20121229,4:15:07,21,THE ILLUSTRATED ENCYCLOPEDIA OF DOG BREEDS N/A,1,4.84,8.83,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,7.26186E+13,4.04667E+18,20120113,22:31:09,21,SPORTS ILLUSTRATED ALMANAC 2012 (SPORTS ILLUSTRATED SPORTS ALMANAC) N/A,1,9.36,32.85,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,7.26186E+13,4.04667E+18,20120113,22:31:09,21,ESPN THE MIGHTY BOOK OF SPORTS KNOWLEDGE N/A,1,15.51,32.85,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,7397118555,4.04667E+18,20121111,10:28:04,23,"ROZALYN 3 (ROZALYN SERIES) SHAN, KENIESHA TRIMBLE   KINDLE STORE N/A",1,3.99,8.47,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,7397904987,4.04667E+18,20121111,9:54:11,21,"PRETTY BRIGHT 2 MIMI RENEE, JILL ALICEA  KINDLE STORE N/A",1,4.99,9.47,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,7.45378E+13,4.04667E+18,20120323,11:37:31,1,HEMALAYAA BEAUTIFUL BELLY N/A,1,12.99,43.17,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,7.45378E+13,4.04667E+18,20120323,11:37:31,99,HEMALAYAA BOLLYWOOD BOOTY N/A,1,12.73,43.17,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,7.45378E+13,4.04667E+18,20120323,11:37:31,23,THE BOLLYWOOD DANCE WORKOUT WITH HEMALAYAA N/A,1,12.49,43.17,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,7.45378E+13,4.04667E+18,20120323,1:04:45,34,ISOPROPYL ALCOHOL- 99% 16 OZ. PLASTIC BOTTLE- 12 PER CASE AT HOME EMERGENCY N/A,2,63.9,88.4,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,7.56466E+13,4.04667E+18,20120303,5:07:52,23,MARTIN THE COMPLETE SEASONS 1 & 2 N/A,1,16.8,86.25,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,7.56466E+13,4.04667E+18,20120303,5:07:52,23,MY WIFE & KIDS SEASON ONE N/A,1,5.5,86.25,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,7.56466E+13,4.04667E+18,20120303,5:07:52,23,DRIVING MISS DAISY (KEEPCASE PACKAGING) N/A,1,4.98,86.25,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,7.56466E+13,4.04667E+18,20120303,5:07:52,23,MARTIN COMPLETE SEASONS THREE & FOUR N/A,1,16.8,86.25,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,7.56466E+13,4.04667E+18,20120303,5:07:52,23,MARTIN THE COMPLETE FIFTH SEASON N/A,1,18.29,86.25,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,7.56466E+13,4.04667E+18,20120303,5:07:52,23,MY WIFE & KIDS SEASON TWO N/A,1,6,86.25,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,8558678588,4.04667E+18,20121011,0:09:19,13,CANDY SHOP NICETY  KINDLE STORE N/A,1,0.99,5.47,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,8558678588,4.04667E+18,20121011,0:09:19,22,BEAST FALLON  KINDLE STORE N/A,1,0.99,5.47,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,8696304203,4.04667E+18,20121026,1:33:52,3,THE PRADA PLAN 2 N/A,1,7.5,25.48,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,9303429676,4.04667E+18,20120925,6:54:10,23,THE UNTOLD STORIES CHYNA BLACK  KINDLE STORE N/A,1,4.99,9.47,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,9303429676,4.04667E+18,20120925,6:54:10,21,THE COLDEST WINTER EVER N/A,1,4.4,36.61,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,9303429676,4.04667E+18,20120925,6:54:10,3,THE PRADA PLAN N/A,1,3.87,36.61,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,9303429676,4.04667E+18,20120925,6:54:10,99,INSATIABLE N/A,1,4.98,36.61,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,9303429676,4.04667E+18,20120925,6:54:10,23,G-SPOT AN URBAN EROTIC TALE BY N/A,1,3.4,36.61,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,9303429676,4.04667E+18,20120925,6:54:10,21,ZANE'S ADDICTED A NOVEL N/A,1,0.01,36.61,99,2,5,6,3,0,2,1,0,44132,amazon.com
54590783,9.97125E+13,4.04667E+18,20120728,3:23:50,23,TWISTED OBSESSION PURITY DOTSON  KINDLE STORE N/A,1,0.99,5.47,99,2,5,6,3,0,2,1,0,44132,amazon.com
56235524,7.13357E+13,4.04667E+18,20120103,21:52:27,54,NEW DELCO 10SI 24 VOLT 1-WIRE ALTERNATOR FITS MOST GM STYLE MOUNTINGS WITH 2\\1 MOUNTING FOOT N/A,2,191.9,211.19,99,2,2,4,6,1,1,1,0,49006,amazon.com
60545661,11841114750,4.04667E+18,20121216,2:35:12,23,CELTIC WOMAN A NEW JOURNEY--LIVE AT SLANE CASTLE N/A,1,13.99,16.97,99,4,5,4,4,1,1,1,1,58503,amazon.com
60545661,13074240102,4.04667E+18,20121122,3:08:51,23,"MAGNUM, P.I. - THE COMPLETE SECOND SEASON N/A",1,8.99,11.97,99,4,5,4,4,1,1,1,1,58503,amazon.com
60545661,13922800208,4.04667E+18,20121031,1:21:51,23,THE SASQUATCH MYSTERY (TRIXIE BELDEN NO. 25) N/A,1,2.68,13.67,99,4,5,4,4,1,1,1,1,58503,amazon.com
60545661,13922800208,4.04667E+18,20121031,1:21:51,21,TRIXIE BELDEN AND THE MYSTERY AT SARATOGA (NO. 24) N/A,1,0.01,13.67,99,4,5,4,4,1,1,1,1,58503,amazon.com
60545661,13990433389,4.04667E+18,20121129,1:02:40,21,MERRY CHRISTMAS N/A,1,2.99,5.97,99,4,5,4,4,1,1,1,1,58503,amazon.com
60545661,7.38239E+13,4.04667E+18,20120519,22:04:09,23,FLASHDANCE N/A,1,0.88,6.07,99,4,5,4,4,1,1,1,1,58503,amazon.com
60545661,7.38239E+13,4.04667E+18,20120519,22:04:09,22,WALK THE LINE (FULL SCREEN EDITION) N/A,1,0.01,5.2,99,4,5,4,4,1,1,1,1,58503,amazon.com
60545661,7.40682E+13,4.04667E+18,20120228,5:23:04,23,LITTLE HOUSE ON THE PRAIRIE - THE COMPLETE SEASON 7 N/A,1,16.95,19.93,99,4,5,4,4,1,1,1,1,58503,amazon.com
60545661,7.50415E+13,4.04667E+18,20120213,2:15:43,21,WHERE THE RED FERN GROWS (+ DIGITAL COPY) N/A,1,1.49,4.47,99,4,5,4,4,1,1,1,1,58503,amazon.com
60545661,7.94511E+13,4.04667E+18,20120521,23:15:38,23,LITTLE HOUSE ON THE PRAIRIE - THE COMPLETE SEASON 8 N/A,1,14.78,17.76,99,4,5,4,4,1,1,1,1,58503,amazon.com
60545661,9.64902E+13,4.04667E+18,20120707,22:52:52,21,THE PRINCESS AND THE FROG (SINGLE-DISC EDITION) N/A,1,8.95,14.14,99,4,5,4,4,1,1,1,1,58503,amazon.com
61253734,7.1201E+13,4.04667E+18,20120109,16:25:42,21,INTERIOR CASTLE[PAPERBACK] N/A,1,8.21,31.55,99,3,6,6,4,1,5,1,1,28262,amazon.com
61253734,7.1201E+13,4.04667E+18,20120109,16:25:42,21,THE IMITATION OF CHRIST (DOVER THRIFT EDITIONS)[PAPERBACK] N/A,1,2.5,31.55,99,3,6,6,4,1,5,1,1,28262,amazon.com
61253734,7.1201E+13,4.04667E+18,20120109,16:25:42,21,THE WAY OF PERFECTION (THRIFT EDITION THRIFT EDITION)[PAPERBACK] N/A,1,3.5,31.55,99,3,6,6,4,1,5,1,1,28262,amazon.com
61253734,7.1201E+13,4.04667E+18,20120109,16:25:42,21,THE WAY OF PERFECTION[PAPERBACK] N/A,1,10.39,31.55,99,3,6,6,4,1,5,1,1,28262,amazon.com
61253734,7.1201E+13,4.04667E+18,20120109,16:25:42,21,THE LITTLE WAY FOR EVERY DAY: THOUGHTS FROM THERESE OF LISIEUX[PAPERBACK] N/A,1,6.95,31.55,99,3,6,6,4,1,5,1,1,28262,amazon.com
61593113,14859178611,4.04667E+18,20121205,1:32:29,21,THE LIGHT OF CHRISTMAS N/A,1,11.98,34.11,99,3,3,7,5,1,1,1,0,75495,amazon.com
61593113,14859178611,4.04667E+18,20121205,1:32:29,21,"THE CHRISTMAS BOX COLLECTION THE CHRISTMAS BOX, TIMEPIECE, AND THE LETTER N/A",1,8.99,34.11,99,3,3,7,5,1,1,1,0,75495,amazon.com
61593113,14859178611,4.04667E+18,20121205,1:32:29,21,THE GIFT A NOVEL N/A,1,13.14,34.11,99,3,3,7,5,1,1,1,0,75495,amazon.com
61938846,1.04475E+14,4.04667E+18,20120702,19:07:48,1,16PC MINERAL MAKEUP KIT (DARK SHADE) WITH SILK PRIMER AND 7 PIECE BRUSH SET W/CASE WOW HER ! N/A,1,29.96,64.77,99,4,1,11,2,0,1,1,0,92056,amazon.com
61938846,1.04475E+14,4.04667E+18,20120702,19:07:48,16,IQ NATURAL SILK PRIMER 2OZ IRRITANT-FREE FOUNDATION PRIMER N/A,1,12.95,64.77,99,4,1,11,2,0,1,1,0,92056,amazon.com
61938846,1.04475E+14,4.04667E+18,20120702,19:07:48,30,BOSE REPLACEMENT REMOTE - FOR BOSE SOUNDDOCK SERIES II OR BOSE SOUNDDOCK PORTABLE - BLACK N/A,1,14.95,64.77,99,4,1,11,2,0,1,1,0,92056,amazon.com
